OlinkID	Assay	ensg_id	gene_name	chr_name	begin	end
OID01227	F11	ENSG00000088926	F11	4	186265945	186288806
OID01274	COMP	ENSG00000105664	COMP	19	18782773	18791314
OID01261	CA4	ENSG00000167434	CA4	17	60149936	60170899
OID01284	PTPRS	ENSG00000105426	PTPRS	19	5158495	5340803
OID01243	MBL2	ENSG00000165471	MBL2	10	52765380	52771700
OID01224	TIMP1	ENSG00000102265	TIMP1	X	47582313	47586789
OID01306	ANGPTL3	ENSG00000132855	ANGPTL3	1	62597487	62606159
OID01280	REG3A	ENSG00000172016	REG3A	2	79157003	79159753
OID01222	SOD1	ENSG00000142168	SOD1	21	31659622	31668931
OID01251	CD46	ENSG00000117335	CD46	1	207752057	207795513
OID01242	ITGAM	ENSG00000169896	ITGAM	16	31259990	31332892
OID01265	TNC	ENSG00000041982	TNC	9	115019578	115118257
OID01250	NID1	ENSG00000116962	NID1	1	235975830	236065162
OID01302	CFHR5	ENSG00000134389	CFHR5	1	196977556	197009674
OID01287	SPARCL1	ENSG00000152583	SPARCL1	4	87473335	87531061
OID01218	PLXNB2	ENSG00000196576	PLXNB2	22	50274979	50307627
OID01303	MEGF9	ENSG00000106780	MEGF9	9	120600813	120714470
OID01226	ANG	ENSG00000214274	ANG	14	20684177	20698971
OID01252	ST6GAL1	ENSG00000073849	ST6GAL1	3	186930485	187078553
OID01266	DPP4	ENSG00000197635	DPP4	2	161992241	162074542
OID01231	REG1A	ENSG00000115386	REG1A	2	79120362	79123419
OID01293	QPCT	ENSG00000115828	QPCT	2	37344574	37373322
OID01290	FCN2	ENSG00000160339	FCN2	9	134880812	134887520
OID01305	FETUB	ENSG00000090512	FETUB	3	186635969	186653141
OID01263	CES1	ENSG00000198848	CES1	16	55802851	55833337
OID01304	CRTAC1	ENSG00000095713	CRTAC1	10	97865000	98030828
OID01259	TCN2	ENSG00000185339	TCN2	22	30606838	30627278
OID01236	PRSS2	ENSG00000275896	PRSS2	7	142760398	142774564
OID01267	ICAM3	ENSG00000076662	ICAM3	19	10333776	10339823
OID01269	SAA4	ENSG00000148965	SAA4	11	18231349	18236893
OID01299	CNDP1	ENSG00000150656	CNDP1	18	74534440	74587212
OID01244	FCGR2A	ENSG00000143226	FCGR2A	1	161505430	161524013
OID01217	NRP1	ENSG00000099250	NRP1	10	33177492	33336262
OID01281	EFEMP1	ENSG00000115380	EFEMP1	2	55865967	55924139
OID01298	TIMD4	ENSG00000145850	TIMD4	5	156919282	156963255
OID01282	FAP	ENSG00000078098	FAP	2	162170684	162245151
OID01270	TIE1	ENSG00000066056	TIE1	1	43300993	43323108
OID01268	THBS4	ENSG00000113296	THBS4	5	79991311	80083287
OID01239	F7	ENSG00000057593	F7	13	113105788	113120681
OID01234	GP1BA	ENSG00000185245	GP1BA	17	4932297	4935030
OID01307	LYVE1	ENSG00000133800	LYVE1	11	10556966	10611689
OID01235	CA3	ENSG00000164879	CA3	8	85373436	85449040
OID01279	TGFBR3	ENSG00000069702	TGFBR3	1	91680343	91906335
OID01277	DEFA1	ENSG00000206047	DEFA1	8	6977649	6980080
OID01277	DEFA1	ENSG00000240247	DEFA1B	8	6996766	6999195
OID01248	CD59	ENSG00000085063	CD59	11	33698261	33736445
OID01221	APOM	ENSG00000204444	APOM	6	31652416	31658210
OID01300	OSMR	ENSG00000145623	OSMR	5	38845858	38945596
OID01296	LILRB2	ENSG00000131042	LILRB2	19	54273821	54281184
OID01237	UMOD	ENSG00000169344	UMOD	16	20333052	20356301
OID01276	CCL18	ENSG00000275385	CCL18	17	36064280	36072032
OID01271	COL18A1	ENSG00000182871	COL18A1	21	45405137	45513720
OID01278	LCN2	ENSG00000148346	LCN2	9	128149071	128153455
OID01241	KIT	ENSG00000157404	KIT	4	54657918	54740715
OID01301	C1QTNF1	ENSG00000173918	C1QTNF1	17	79022814	79049788
OID01294	AOC3	ENSG00000131471	AOC3	17	42851184	42858130
OID01286	GAS6	ENSG00000183087	GAS6	13	113820549	113864067
OID01283	PLA2G7	ENSG00000146070	PLA2G7	6	46704201	46735693
OID01260	TNXB	ENSG00000168477	TNXB	6	32041154	32115334
OID01285	MFAP5	ENSG00000197614	MFAP5	12	8637346	8662888
OID01295	VASN	ENSG00000168140	VASN	16	4371848	4383528
OID01220	LILRB5	ENSG00000105609	LILRB5	19	54249431	54257301
OID01233	C2	ENSG00000166278	C2	6	31897785	31945672
OID00379	BMP-6	ENSG00000153162	BMP6	6	7726797	7881422
OID00380	ANGPT1	ENSG00000154188	ANGPT1	8	107249482	107498055
OID00381	ADM	ENSG00000148926	ADM	11	10304680	10307397
OID00382	CD40-L	ENSG00000102245	CD40LG	X	136648193	136660390
OID00383	SLAMF7	ENSG00000026751	SLAMF7	1	160739057	160754821
OID00385	ADAM-TS13	ENSG00000160323	ADAMTS13	9	133414358	133459402
OID00387	IL-4RA	ENSG00000077238	IL4R	16	27313668	27364778
OID00388	SRC	ENSG00000197122	SRC	20	37344685	37406050
OID00389	IL-1ra	ENSG00000136689	IL1RN	2	113107214	113134016
OID00392	STK4	ENSG00000101109	STK4	20	44966474	45079959
OID00393	IDUA	ENSG00000127415	IDUA	4	986997	1004506
OID00394	TNFRSF11A	ENSG00000141655	TNFRSF11A	18	62325287	62391292
OID00395	PAR-1	ENSG00000181104	F2R	5	76716043	76735781
OID00396	TRAIL-R2	ENSG00000120889	TNFRSF10B	8	23020133	23069179
OID00397	PRSS27	ENSG00000172382	PRSS27	16	2712418	2720551
OID00398	TIE2	ENSG00000120156	TEK	9	27109141	27230175
OID00399	TF	ENSG00000117525	F3	1	94529225	94541800
OID00400	IL1RL2	ENSG00000115598	IL1RL2	2	102186973	102240002
OID00401	PDGF subunit B	ENSG00000100311	PDGFB	22	39223359	39244751
OID00402	IL-27	ENSG00000197272	IL27	16	28499362	28512051
OID00402	IL-27	ENSG00000105246	EBI3	19	4229498	4237531
OID00403	IL-17D	ENSG00000172458	IL17D	13	20702127	20723098
OID00405	LOX-1	ENSG00000173391	OLR1	12	10158301	10172138
OID00406	Gal-9	ENSG00000168961	LGALS9	17	27629798	27649560
OID00407	GIF	ENSG00000134812	GIF	11	59829268	59845501
OID00411	PIgR	ENSG00000162896	PIGR	1	206928518	206946466
OID00412	RAGE	ENSG00000204305	AGER	6	32180968	32184324
OID00414	CTRC	ENSG00000162438	CTRC	1	15438439	15449242
OID00416	SPON2	ENSG00000159674	SPON2	4	1166932	1208962
OID00417	GH	ENSG00000259384	GH1	17	63917200	63918838
OID00418	FS	ENSG00000134363	FST	5	53480409	53487134
OID00419	GLO1	ENSG00000124767	GLO1	6	38675925	38703141
OID00420	CD84	ENSG00000066294	CD84	1	160541095	160579516
OID00421	PAPPA	ENSG00000182752	PAPPA	9	116153804	116402322
OID00422	SERPINA12	ENSG00000165953	SERPINA12	14	94487274	94517844
OID00423	REN	ENSG00000143839	REN	1	204154819	204190324
OID00424	DECR1	ENSG00000104325	DECR1	8	90001405	90052092
OID00425	MERTK	ENSG00000153208	MERTK	2	111898479	112029561
OID00427	THBS2	ENSG00000186340	THBS2	6	169215780	169254044
OID00428	TM	ENSG00000178726	THBD	20	23045633	23049741
OID00429	VSIG2	ENSG00000019102	VSIG2	11	124747472	124752238
OID00430	AMBP	ENSG00000106927	AMBP	9	114060127	114078472
OID00431	PRELP	ENSG00000188783	PRELP	1	203475828	203491352
OID00432	HO-1	ENSG00000100292	HMOX1	22	35380361	35394214
OID00433	XCL1	ENSG00000143184	XCL1	1	168576473	168582077
OID00434	IL16	ENSG00000172349	IL16	15	81159575	81314058
OID00435	SORT1	ENSG00000134243	SORT1	1	109309568	109397951
OID00436	CEACAM8	ENSG00000124469	CEACAM8	19	42580241	42595055
OID00437	PTX3	ENSG00000163661	PTX3	3	157436789	157443628
OID00438	PSGL-1	ENSG00000110876	SELPLG	12	108622277	108633959
OID00439	CCL17	ENSG00000102970	CCL17	16	57404767	57416062
OID00441	MMP7	ENSG00000137673	MMP7	11	102520508	102530753
OID00442	IgG Fc receptor II-b	ENSG00000072694	FCGR2B	1	161663147	161678654
OID00443	ITGB1BP2	ENSG00000147166	ITGB1BP2	X	71301734	71305371
OID00444	DCN	ENSG00000011465	DCN	12	91140484	91183123
OID00445	Dkk-1	ENSG00000107984	DKK1	10	52314296	52318042
OID00446	LPL	ENSG00000175445	LPL	8	19901717	19967258
OID00447	PRSS8	ENSG00000052344	PRSS8	16	31131433	31135762
OID00448	AGRP	ENSG00000159723	AGRP	16	67482571	67483813
OID00449	HB-EGF	ENSG00000113070	HBEGF	5	140332843	140346631
OID00450	GDF-2	ENSG00000263761	GDF2	10	47322490	47326270
OID00451	FABP2	ENSG00000145384	FABP2	4	119317250	119322390
OID00452	THPO	ENSG00000090534	THPO	3	184371935	184378144
OID00453	MARCO	ENSG00000019169	MARCO	2	118942166	118994660
OID00454	GT	ENSG00000170231	FABP6	5	160187367	160238735
OID00455	BNP	ENSG00000120937	NPPB	1	11857464	11858931
OID00456	MMP12	ENSG00000262406	MMP12	11	102862736	102875034
OID00457	ACE2	ENSG00000130234	ACE2	X	15561033	15602148
OID00458	PD-L2	ENSG00000197646	PDCD1LG2	9	5510570	5571254
OID00459	CTSL1	ENSG00000135047	CTSL	9	87725519	87731393
OID00460	hOSCAR	ENSG00000170909	OSCAR	19	54094668	54102692
OID00461	TNFRSF13B	ENSG00000240505	TNFRSF13B	17	16929816	16972118
OID00462	TGM2	ENSG00000198959	TGM2	20	38127387	38166578
OID00463	LEP	ENSG00000174697	LEP	7	128241284	128257628
OID00464	CA5A	ENSG00000174990	CA5A	16	87881546	87936529
OID00465	HSP 27	ENSG00000106211	HSPB1	7	76302544	76304295
OID00466	CD4	ENSG00000010610	CD4	12	6786858	6820808
OID00467	NEMO	ENSG00000269335	IKBKG	X	154541199	154565046
OID00469	PARP-1	ENSG00000143799	PARP1	1	226360691	226408079
OID00470	HAOX1	ENSG00000101323	HAO1	20	7882981	7940474
OID00563	TNFRSF14	ENSG00000157873	TNFRSF14	1	2555639	2565382
OID00564	LDL receptor	ENSG00000130164	LDLR	19	11089362	11133816
OID00565	ITGB2	ENSG00000160255	ITGB2	21	44885953	44931989
OID00566	IL-17RA	ENSG00000177663	IL17RA	22	17084954	17115694
OID00567	TNF-R2	ENSG00000028137	TNFRSF1B	1	12166943	12209228
OID00568	MMP-9	ENSG00000100985	MMP9	20	46008908	46016561
OID00569	EPHB4	ENSG00000196411	EPHB4	7	100802565	100827521
OID00570	IL2-RA	ENSG00000134460	IL2RA	10	6010689	6062325
OID00571	OPG	ENSG00000164761	TNFRSF11B	8	118923557	118952200
OID00572	ALCAM	ENSG00000170017	ALCAM	3	105366909	105576900
OID00574	SELP	ENSG00000174175	SELP	1	169588849	169630193
OID00575	CSTB	ENSG00000160213	CSTB	21	43772512	43776445
OID00576	MCP-1	ENSG00000108691	CCL2	17	34255218	34257203
OID00577	CD163	ENSG00000177575	CD163	12	7470813	7503893
OID00578	Gal-3	ENSG00000131981	LGALS3	14	55124110	55145413
OID00579	GRN	ENSG00000030582	GRN	17	44345086	44353102
OID00581	BLM hydrolase	ENSG00000108578	BLMH	17	30248195	30292056
OID00582	PLC	ENSG00000142798	HSPG2	1	21822245	21937297
OID00583	LTBR	ENSG00000111321	LTBR	12	6375045	6391571
OID00584	Notch 3	ENSG00000074181	NOTCH3	19	15159038	15200981
OID00585	TIMP4	ENSG00000157150	TIMP4	3	12153051	12159351
OID00586	CNTN1	ENSG00000018236	CNTN1	12	40692442	41072418
OID00587	CDH5	ENSG00000179776	CDH5	16	66366622	66404786
OID00588	TLT-2	ENSG00000112195	TREML2	6	41190277	41201194
OID00589	FABP4	ENSG00000170323	FABP4	8	81478419	81483263
OID00590	TFPI	ENSG00000003436	TFPI	2	187464230	187565760
OID00591	PAI	ENSG00000106366	SERPINE1	7	101127089	101139266
OID00592	CCL24	ENSG00000106178	CCL24	7	75811665	75823356
OID00593	TR	ENSG00000072274	TFRC	3	196027183	196082189
OID00594	TNFRSF10C	ENSG00000173535	TNFRSF10C	8	23084355	23117437
OID00595	GDF-15	ENSG00000130513	GDF15	19	18374731	18389176
OID00596	SELE	ENSG00000007908	SELE	1	169722641	169764705
OID00597	AZU1	ENSG00000172232	AZU1	19	825097	832018
OID00598	DLK-1	ENSG00000185559	DLK1	14	100725705	100738224
OID00599	SPON1	ENSG00000262655	SPON1	11	13962689	14267884
OID00600	MPO	ENSG00000005381	MPO	17	58269856	58280935
OID00601	CXCL16	ENSG00000161921	CXCL16	17	4733526	4739922
OID00602	IL-6RA	ENSG00000160712	IL6R	1	154405193	154469450
OID00603	RETN	ENSG00000104918	RETN	19	7669044	7670454
OID00604	IGFBP-1	ENSG00000146678	IGFBP1	7	45888357	45893668
OID00605	CHIT1	ENSG00000133063	CHIT1	1	203212827	203273641
OID00606	TR-AP	ENSG00000102575	ACP5	19	11574660	11579008
OID05026	GP6	ENSG00000088053	GP6	19	55013705	55038264
OID00608	PSP-D	ENSG00000133661	SFTPD	10	79937740	79982614
OID00609	PI3	ENSG00000124102	PI3	20	45174876	45176544
OID00610	Ep-CAM	ENSG00000119888	EPCAM	2	47345158	47387601
OID00611	AP-N	ENSG00000166825	ANPEP	15	89784889	89815401
OID00612	AXL	ENSG00000167601	AXL	19	41219203	41261766
OID00613	IL-1RT1	ENSG00000115594	IL1R1	2	102064544	102179874
OID00614	MMP-2	ENSG00000087245	MMP2	16	55389700	55506691
OID00615	FAS	ENSG00000026103	FAS	10	88990582	89015785
OID00616	MB	ENSG00000198125	MB	22	35606764	35637951
OID00617	TNFSF13B	ENSG00000102524	TNFSF13B	13	108251240	108308484
OID00618	PRTN3	ENSG00000196415	PRTN3	19	840960	848175
OID00619	PCSK9	ENSG00000169174	PCSK9	1	55039548	55064852
OID00620	U-PAR	ENSG00000011422	PLAUR	19	43646095	43670547
OID00621	OPN	ENSG00000118785	SPP1	4	87975650	87983426
OID00622	CTSD	ENSG00000117984	CTSD	11	1752752	1764573
OID00623	PGLYRP1	ENSG00000008438	PGLYRP1	19	46019153	46023065
OID00624	CPA1	ENSG00000091704	CPA1	7	130380339	130388114
OID00625	JAM-A	ENSG00000158769	F11R	1	160995211	161021348
OID00626	Gal-4	ENSG00000171747	LGALS4	19	38801671	38813364
OID00627	IL-1RT2	ENSG00000115590	IL1R2	2	101991844	102028544
OID00628	SHPS-1	ENSG00000198053	SIRPA	20	1894167	1940592
OID00629	CCL15	ENSG00000275718	CCL15	17	35996440	36002038
OID00630	CASP-3	ENSG00000164305	CASP3	4	184627696	184649509
OID00631	uPA	ENSG00000122861	PLAU	10	73909177	73917497
OID00632	CPB1	ENSG00000153002	CPB1	3	148791102	148860187
OID00633	CHI3L1	ENSG00000133048	CHI3L1	1	203178931	203186749
OID00634	ST2	ENSG00000115602	IL1RL1	2	102311502	102352037
OID00635	t-PA	ENSG00000104368	PLAT	8	42175233	42207724
OID00636	SCGB3A2	ENSG00000164265	SCGB3A2	5	147870682	147882191
OID00637	EGFR	ENSG00000146648	EGFR	7	55019021	55211628
OID00638	IGFBP-7	ENSG00000163453	IGFBP7	4	57030773	57110385
OID00639	CD93	ENSG00000125810	CD93	20	23079349	23086340
OID00640	IL-18BP	ENSG00000137496	IL18BP	11	71998541	72005715
OID00641	COL1A1	ENSG00000108821	COL1A1	17	50183289	50201632
OID00642	PON3	ENSG00000105852	PON3	7	95359944	95396368
OID00643	CTSZ	ENSG00000101160	CTSZ	20	58995185	59007247
OID00644	MMP-3	ENSG00000149968	MMP3	11	102835801	102843803
OID00645	RARRES2	ENSG00000106538	RARRES2	7	150338317	150341674
OID00646	ICAM-2	ENSG00000108622	ICAM2	17	64002594	64020634
OID00647	KLK6	ENSG00000167755	KLK6	19	50958631	50969673
OID00648	PDGF subunit A	ENSG00000197461	PDGFA	7	497258	520296
OID00649	TNF-R1	ENSG00000067182	TNFRSF1A	12	6328757	6342114
OID00650	IGFBP-2	ENSG00000115457	IGFBP2	2	216632828	216664436
OID00651	vWF	ENSG00000110799	VWF	12	5948874	6124770
OID00132	MEPE	ENSG00000152595	MEPE	4	87821411	87846817
OID00654	CCL16	ENSG00000275152	CCL16	17	35976493	35981496
OID01329	GCG	ENSG00000115263	GCG	2	162142873	162152404
OID01391	SLAMF8	ENSG00000158714	SLAMF8	1	159826750	159837249
OID01382	SLITRK2	ENSG00000185985	SLITRK2	X	145817832	145825842
OID01399	TACC3	ENSG00000013810	TACC3	4	1721490	1745176
OID01362	LRRN1	ENSG00000175928	LRRN1	3	3799437	3847703
OID01377	SORCS2	ENSG00000184985	SORCS2	4	7192538	7742836
OID01363	FAM19A5	ENSG00000219438	FAM19A5	22	48489460	48850912
OID01339	BGN	ENSG00000182492	BGN	X	153494939	153509554
OID01365	AMIGO2	ENSG00000139211	AMIGO2	12	47075707	47079951
OID01333	PFKM	ENSG00000152556	PFKM	12	48105139	48146404
OID01330	COL4A1	ENSG00000187498	COL4A1	13	110148963	110307149
OID01328	GH2	ENSG00000136487	GH2	17	63880215	63881935
OID01337	ARSB	ENSG00000113273	ARSB	5	78777209	78986087
OID01346	RGS8	ENSG00000135824	RGS8	1	182641816	182684576
OID01340	CBL	ENSG00000110395	CBL	11	119206276	119313926
OID01375	SIGLEC10	ENSG00000142512	SIGLEC10	19	51410021	51417803
OID01341	OMG	ENSG00000126861	OMG	17	31272013	31297539
OID01335	CFC1	ENSG00000136698	CFC1	2	130592168	130599575
OID01366	SKAP1	ENSG00000141293	SKAP1	17	48133440	48430275
OID01392	MRC2	ENSG00000011028	MRC2	17	62627401	62693597
OID01357	IQGAP2	ENSG00000145703	IQGAP2	5	76403249	76708132
OID01388	LYAR	ENSG00000145220	LYAR	4	4267701	4290169
OID01383	SLITRK6	ENSG00000184564	SLITRK6	13	85792790	85799488
OID01353	GALNT2	ENSG00000143641	GALNT2	1	230057990	230282124
OID01311	GFRA2	ENSG00000168546	GFRA2	8	21690403	21812357
OID01317	SIGLEC6	ENSG00000105492	SIGLEC6	19	51519525	51531856
OID01316	BCL2L11	ENSG00000153094	BCL2L11	2	111119378	111168447
OID01358	MOG	ENSG00000204655	MOG	6	29656981	29672372
OID01386	GKN1	ENSG00000169605	GKN1	2	68974573	68980974
OID01376	DCBLD2	ENSG00000057019	DCBLD2	3	98795941	98901689
OID01343	PRDX6	ENSG00000117592	PRDX6	1	173477266	173488807
OID01360	METAP1D	ENSG00000172878	METAP1D	2	171999583	172082430
OID01325	NFATC1	ENSG00000131196	NFATC1	18	79395856	79529325
OID01315	CRX	ENSG00000105392	CRX	19	47819779	47843330
OID01334	TACSTD2	ENSG00000184292	TACSTD2	1	58575423	58577773
OID01371	WASF1	ENSG00000112290	WASF1	6	110099819	110180004
OID01397	TDRKH	ENSG00000182134	TDRKH	1	151770107	151791416
OID01390	ARHGEF12	ENSG00000196914	ARHGEF12	11	120336914	120489936
OID01384	PREB	ENSG00000138073	PREB	2	27130756	27134675
OID01308	GSAP	ENSG00000186088	GSAP	7	77310751	77416400
OID01381	SEMA4C	ENSG00000168758	SEMA4C	2	96859716	96870757
OID01372	NINJ1	ENSG00000131669	NINJ1	9	93121489	93134288
OID01378	CPXM1	ENSG00000088882	CPXM1	20	2794069	2800637
OID01359	CDNF	ENSG00000185267	CDNF	10	14819250	14838575
OID01367	LYPD1	ENSG00000150551	LYPD1	2	132644853	132671579
OID01373	NCLN	ENSG00000125912	NCLN	19	3185563	3209575
OID01380	BOC	ENSG00000144857	BOC	3	113211003	113287459
OID01331	TP53	ENSG00000141510	TP53	17	7661779	7687550
OID01354	LRMP	ENSG00000118308	LRMP	12	25004342	25108334
OID01352	ARHGAP1	ENSG00000175220	ARHGAP1	11	46677080	46700615
OID01326	TCL1B	ENSG00000213231	TCL1B	14	95686417	95692643
OID01387	FGF-21	ENSG00000105550	FGF21	19	48755559	48758330
OID01361	SEZ6L2	ENSG00000174938	SEZ6L2	16	29871159	29899547
OID01332	JUN	ENSG00000177606	JUN	1	58780788	58784327
OID01370	ATG4A	ENSG00000101844	ATG4A	X	108091668	108154671
OID01351	SULT2A1	ENSG00000105398	SULT2A1	19	47870466	47886397
OID01323	DDAH1	ENSG00000153904	DDAH1	1	85318481	85578363
OID01347	PROK1	ENSG00000143125	PROK1	1	110451200	110457354
OID01368	CAMKK1	ENSG00000004660	CAMKK1	17	3860315	3894891
OID01389	PODXL2	ENSG00000114631	PODXL2	3	127629181	127672809
OID01324	VAMP5	ENSG00000168899	VAMP5	2	85584408	85593412
OID01344	LGALS7	ENSG00000178934	LGALS7B	19	38789211	38791749
OID01344	LGALS7	ENSG00000205076	LGALS7	19	38770971	38773492
OID01393	OPTC	ENSG00000188770	OPTC	1	203494143	203508864
OID01336	BCR	ENSG00000186716	BCR	22	23179704	23318037
OID01395	KLK12	ENSG00000186474	KLK12	19	51029092	51035230
OID01394	DKKL1	ENSG00000104901	DKKL1	19	49361783	49375116
OID01374	KAZALD1	ENSG00000107821	KAZALD1	10	101061841	101068131
OID01314	PCDH17	ENSG00000118946	PCDH17	13	57631810	57729311
OID01364	APBB1IP	ENSG00000077420	APBB1IP	10	26438203	26567803
OID01320	HS6ST1	ENSG00000136720	HS6ST1	2	128236716	128318577
OID01309	TNFRSF10A	ENSG00000104689	TNFRSF10A	8	23190452	23225126
OID01312	STX16	ENSG00000124222	STX16	20	58651253	58679526
OID01321	IGSF3	ENSG00000143061	IGSF3	1	116574399	116667755
OID01398	HS3ST3B1	ENSG00000125430	HS3ST3B1	17	14301083	14349404
OID01338	CRISP2	ENSG00000124490	CRISP2	6	49692358	49713590
OID01313	WNT9A	ENSG00000143816	WNT9A	1	227918656	227947898
OID01310	NFKBIE	ENSG00000146232	NFKBIE	6	44258166	44265788
OID01327	PAK4	ENSG00000130669	PAK4	19	39125770	39182816
OID01318	STX6	ENSG00000135823	STX6	1	180972712	181023121
OID01342	DNAJB1	ENSG00000132002	DNAJB1	19	14514770	14529770
OID01356	DCTN2	ENSG00000175203	DCTN2	12	57530102	57547331
OID01369	AGR3	ENSG00000173467	AGR3	7	16859405	16881987
OID01319	VEGFD	ENSG00000165197	VEGFD	X	15345591	15384376
OID01348	FLI1	ENSG00000151702	FLI1	11	128686535	128813267
OID01350	ZBTB16	ENSG00000109906	ZBTB16	11	114059593	114250676
OID01396	WASF3	ENSG00000132970	WASF3	13	26557703	26688948
OID01355	ZBTB17	ENSG00000116809	ZBTB17	1	15941869	15976132
OID01345	MAP2K6	ENSG00000108984	MAP2K6	17	69414698	69543331
OID01322	ENTPD6	ENSG00000197586	ENTPD6	20	25195693	25226729
OID01379	CLSTN3	ENSG00000139182	CLSTN3	12	7129698	7158945
OID01385	IL17RB	ENSG00000056736	IL17RB	3	53846580	53865800
OID01349	GCNT1	ENSG00000187210	GCNT1	9	76419850	76507416
OID01400	CTSF	ENSG00000174080	CTSF	11	66563463	66568841
OID01401	MATN2	ENSG00000132561	MATN2	8	97868840	98036716
OID01402	HTRA2	ENSG00000115317	HTRA2	2	74529377	74533348
OID01403	MFGE8	ENSG00000140545	MFGE8	15	88898683	88913411
OID01404	NUDT5	ENSG00000165609	NUDT5	10	12165325	12196144
OID01406	ITGB1	ENSG00000150093	ITGB1	10	32900319	33005792
OID01407	DKK3	ENSG00000050165	DKK3	11	11963106	12009769
OID01408	SPINT2	ENSG00000167642	SPINT2	19	38244035	38292614
OID01409	APP	ENSG00000142192	APP	21	25880550	26171128
OID01410	HAVCR2	ENSG00000135077	HAVCR2	5	157085832	157142869
OID01411	DSC2	ENSG00000134755	DSC2	18	31058840	31102415
OID01412	TMSB10	ENSG00000034510	TMSB10	2	84905625	84906675
OID01413	ANGPTL4	ENSG00000167772	ANGPTL4	19	8363289	8374373
OID01414	INHBC	ENSG00000175189	INHBC	12	57434760	57450828
OID01415	SPINK1	ENSG00000164266	SPINK1	5	147824568	147831786
OID01416	CLEC11A	ENSG00000105472	CLEC11A	19	50723329	50725718
OID01417	PDGFRB	ENSG00000113721	PDGFRB	5	150113837	150155872
OID01418	COCH	ENSG00000100473	COCH	14	30874514	30895065
OID01419	FCRL5	ENSG00000143297	FCRL5	1	157513377	157552520
OID01420	PILRA	ENSG00000085514	PILRA	7	100367530	100400099
OID01421	B4GALT1	ENSG00000086062	B4GALT1	9	33104082	33167356
OID01422	CD300LG	ENSG00000161649	CD300LG	17	43847148	43863629
OID01423	PARK7	ENSG00000116288	PARK7	1	7954291	7985505
OID01424	BLVRB	ENSG00000090013	BLVRB	19	40447789	40465840
OID01425	PLA2G4A	ENSG00000116711	PLA2G4A	1	186828953	186988981
OID01426	CD74	ENSG00000019582	CD74	5	150401637	150412929
OID01427	CCL21	ENSG00000137077	CCL21	9	34709005	34710124
OID01428	PTPRF	ENSG00000142949	PTPRF	1	43525187	43623666
OID01429	BCAM	ENSG00000187244	BCAM	19	44809059	44821420
OID01430	SIRPB1	ENSG00000101307	SIRPB1	20	1563521	1620061
OID01431	IGF2R	ENSG00000197081	IGF2R	6	159969099	160113507
OID01432	P4HB	ENSG00000185624	P4HB	17	81843159	81860694
OID01433	FUCA1	ENSG00000179163	FUCA1	1	23845077	23868294
OID01434	ESAM	ENSG00000149564	ESAM	11	124752583	124762290
OID05025	ENPP2	ENSG00000136960	ENPP2	8	119557086	119673453
OID01436	BST1	ENSG00000109743	BST1	4	15702950	15738313
OID01437	CST6	ENSG00000175315	CST6	11	66011841	66013505
OID01438	MYOC	ENSG00000034971	MYOC	1	171635417	171652683
OID01439	SNAP29	ENSG00000099940	SNAP29	22	20858983	20891218
OID01440	WFIKKN2	ENSG00000173714	WFIKKN2	17	50834650	50842348
OID01441	CDON	ENSG00000064309	CDON	11	125955796	126063335
OID01443	NID2	ENSG00000087303	NID2	14	52004803	52069228
OID01444	DAG1	ENSG00000173402	DAG1	3	49468703	49535618
