"CHR" "SNP" "BP" "BETA" "STAT" "P" "OlinkID" "protein_chr_name" "protein_gene_name" "protein_ensg_id" "Type_variant" "SNP_ensg_id" "SNP_gene_name" "protein_begin" "protein_end" "SNP_type" "tot" "BPcum" "is_annotate"
"10" "rs7899547" 52777079 -1.224 -9.542 1.433e-15 "OID01243" "10" "MBL2" "ENSG00000165471" "Intergenic" NA NA 52765380 52771700 "Cis" 213010051 265787130 "yes"
"10" "rs721917" 79946568 -0.4461 -6.837 7.479e-10 "OID00608" "10" "SFTPD" "ENSG00000133661" "Coding_sequence_variant" "ENSG00000133661" "SFTPD" 79937740 79982614 "Cis" 213010051 292956619 "yes"
"10" "rs201312034" 89905555 1.622 6.428 4.991e-09 "OID01315" "19" "CRX" "ENSG00000105392" "Intronic" "ENSG00000280560" "LINC01374" 47819779 47843330 "Trans" 213010051 302915606 "yes"
"10" "rs11190812" 101064535 -0.9257 -7.774 8.499e-12 "OID01374" "10" "KAZALD1" "ENSG00000107821" "Coding_sequence_variant" "ENSG00000107821" "KAZALD1" 101061841 101068131 "Cis" 213010051 314074586 "yes"
"10" "rs140014707" 117488779 0.464 7.55 2.515e-11 "OID01087" "8" "NBN" "ENSG00000104320" "Downstream" "ENSG00000229847" "EMX2OS" 89933336 90003228 "Trans" 213010051 330498830 "yes"
"10" "rs71276674" 129468068 -0.362 -6.366 6.65e-09 "OID00990" "10" "MGMT" "ENSG00000170430" NA NA NA 129467184 129768007 "Cis" 213010051 342478119 "yes"
"10" "rs1665547" 130654994 0.5206 6.55 2.843e-09 "OID01409" "21" "APP" "ENSG00000142192" "Intergenic" NA NA 25880550 26171128 "Trans" 213010051 343665045 "yes"
"11" "rs59916966" 17174306 0.2752 6.545 2.913e-09 "OID01052" "11" "NUCB2" "ENSG00000070081" "Upstream" "ENSG00000011405" "PIK3C2A" 17208153 17349974 "Cis" 343665045 360839351 "yes"
"11" "rs77947356" 20172984 0.7641 7.132 1.856e-10 "OID01095" "11" "CALCA" "ENSG00000110680" "Intergenic" NA NA 14966668 14972354 "Trans" 343665045 363838029 "yes"
"11" "rs376245612" 33435788 0.2403 6.314 8.917e-09 "OID00543" "9" "IL33" "ENSG00000137033" "Intergenic" NA NA 6215786 6257983 "Trans" 343665045 377100833 "yes"
"11" "." 53634835 0.9745 7.795 8.139e-12 "OID01022" "3" "KPNA1" "ENSG00000114030" "Intergenic" NA NA 122421949 122514945 "Trans" 343665045 397299880 "yes"
"11" "." 72139110 4.302 32.63 9.318e-54 "OID00738" "11" "FOLR3" "ENSG00000110203" "Other" "ENSG00000110203" "FOLR3" 72114869 72139892 "Cis" 343665045 415804155 "yes"
"11" "." 102342378 0.8075 7.416 4.776e-11 "OID00508" "11" "IL10RA" "ENSG00000110324" "Upstream" "ENSG00000110330" "BIRC2" 117986348 118003037 "Trans" 343665045 446007423 "yes"
"11" "." 102834316 -0.634 -6.327 7.923e-09 "OID00456" "11" "MMP12" "ENSG00000262406" NA NA NA 102862736 102875034 "Cis" 343665045 446499361 "yes"
"11" "rs4938033" 113673391 -0.306 -6.766 1.041e-09 "OID00331" "11" "TMPRSS5" "ENSG00000166682" "Intergenic" NA NA 113687550 113706373 "Cis" 343665045 457338436 "yes"
"12" "rs11055602" 7751515 0.3544 7.934 3.924e-12 "OID00949" "12" "CLEC4C" "ENSG00000198178" "UTR_variant" "ENSG00000198178" "CLEC4C" 7729415 7751605 "Cis" 457338436 465089951 "yes"
"12" "rs72034577" 10116607 -0.9765 -12.22 2.808e-21 "OID01016" "12" "CLEC7A" "ENSG00000172243" "Downstream" "ENSG00000172243" "CLEC7A" 10116777 10130258 "Cis" 457338436 467455043 "yes"
"12" "." 35650701 0.6412 6.506 3.481e-09 "OID00967" "17" "KRT19" "ENSG00000171345" NA NA NA 41523617 41528308 "Trans" 457338436 492989137 "yes"
"12" "rs113437358" 44113794 0.4398 6.608 2.176e-09 "OID01401" "8" "MATN2" "ENSG00000132561" NA NA NA 97868840 98036716 "Trans" 457338436 501452230 "yes"
"12" "rs61924314" 72174394 0.7374 7.258 1.021e-10 "OID00387" "16" "IL4R" "ENSG00000077238" "Intronic" "ENSG00000139287" "TPH2" 27313668 27364778 "Trans" 457338436 529512830 "yes"
"12" "rs7956157" 82918249 0.966 8.338 5.445e-13 "OID00509" "4" "FGF5" "ENSG00000138675" "Intronic" "ENSG00000179104" "TMTC2" 80266599 80336680 "Trans" 457338436 540256685 "yes"
"12" "rs7975125" 105251741 -0.2369 -6.565 2.657e-09 "OID01135" "7" "CLEC5A" "ENSG00000258227" NA NA NA 141927357 141947007 "Trans" 457338436 562590177 "yes"
"12" "rs3845191" 120229296 -0.3325 -8.423 3.581e-13 "OID01032" "12" "PXN" "ENSG00000089159" "Intronic" "ENSG00000089159" "PXN" 120210439 120265771 "Cis" 457338436 577567732 "yes"
"12" "rs73449210" 130139827 1.234 7.127 1.898e-10 "OID01367" "2" "LYPD1" "ENSG00000150551" "Downstream" "ENSG00000250208" "FZD10-AS1" 132644853 132671579 "Trans" 457338436 587478263 "yes"
"13" "." 16358477 0.5385 6.332 7.774e-09 "OID00741" "19" "MUC16" "ENSG00000181143" "Intergenic" NA NA 8848844 8981342 "Trans" 587478263 603836740 "yes"
"13" "rs186892845" 27583180 0.5885 7.828 6.567e-12 "OID01093" "3" "RARRES1" "ENSG00000118849" "Intronic" "ENSG00000139517" "LNX2" 158696892 158732696 "Trans" 587478263 615061443 "yes"
"13" "rs720239" 52951570 -0.3062 -6.298 9.04e-09 "OID01204" "9" "KYAT1" "ENSG00000171097" "Intergenic" NA NA 128832942 128882494 "Trans" 587478263 640429833 "yes"
"13" "rs9540736" 66393415 1.48 8.373 4.595e-13 "OID01332" "1" "JUN" "ENSG00000177606" "Intronic" "ENSG00000184226" "PCDH9" 58780788 58784327 "Trans" 587478263 653871678 "yes"
"13" "rs522812" 91775689 -0.5749 -9.225 6.871e-15 "OID00350" "13" "GPC5" "ENSG00000179399" "Intronic" "ENSG00000179399" "GPC5" 91398607 92873682 "Cis" 587478263 679253952 "yes"
"13" "rs536517211" 113509406 0.3747 6.457 4.382e-09 "OID00403" "13" "IL17D" "ENSG00000172458" "Intronic" "ENSG00000150403" "TMCO3" 20702127 20723098 "Trans" 587478263 700987669 "yes"
"14" "rs35370182" 30858989 0.4757 7.1 2.164e-10 "OID01418" "14" "COCH" "ENSG00000100473" "Intergenic" NA NA 30874514 30895065 "Cis" 700987669 731846658 "yes"
"14" "rs199501040" 44315057 0.2951 6.627 2.058e-09 "OID01041" "12" "TIGAR" "ENSG00000078237" "Intronic" "ENSG00000258969" "RP11-305B6.3" 4307763 4354593 "Trans" 700987669 745302726 "yes"
"14" "rs758205339" 83792454 1.194 9.313 7.002e-15 "OID01069" "2" "PPM1B" "ENSG00000138032" "Intergenic" NA NA 44167969 44244384 "Trans" 700987669 784780123 "yes"
"14" "rs61978271" 94521214 0.9073 6.361 6.786e-09 "OID00422" "14" "SERPINA12" "ENSG00000165953" "Upstream" "ENSG00000165953" "SERPINA12" 94487274 94517844 "Cis" 700987669 795508883 "yes"
"14" "rs2295829" 102922666 0.7231 13.55 5.075e-24 "OID01037" "14" "AMN" "ENSG00000166126" "UTR_variant" "ENSG00000166126" "AMN" 102922656 102933596 "Cis" 700987669 803910335 "yes"
"15" "rs17817030" 33246280 0.7765 8.064 2.076e-12 "OID00526" "1" "ARTN" "ENSG00000117407" "Upstream" "ENSG00000215296" "TMCO5B" 43933320 43937241 "Trans" 803910335 837156615 "yes"
"15" "rs145219063" 51062277 -0.1527 -6.299 9.295e-09 "OID00358" "6" "DDR1" "ENSG00000204580" NA NA NA 30876421 30900156 "Trans" 803910335 854972612 "yes"
"15" "rs10518941" 71270662 0.8532 6.623 2.03e-09 "OID01350" "11" "ZBTB16" "ENSG00000109906" "Intronic" "ENSG00000187720" "THSD4" 114059593 114250676 "Trans" 803910335 875180997 "yes"
"15" "rs4404036" 77773868 0.3427 6.545 2.91e-09 "OID01321" "1" "IGSF3" "ENSG00000143061" "Intronic" "ENSG00000169783" "LINGO1" 116574399 116667755 "Trans" 803910335 881684203 "yes"
"15" "rs35346837" 78951388 0.6751 10.75 3.601e-18 "OID01171" "15" "CTSH" "ENSG00000103811" "Upstream" "ENSG00000103811" "CTSH" 78921058 78949574 "Cis" 803910335 882861723 "yes"
"15" "rs772697237" 82107399 0.6749 6.452 4.764e-09 "OID01034" "17" "ALDH3A1" "ENSG00000108602" "Intergenic" NA NA 19737984 19748943 "Trans" 803910335 886017734 "yes"
"16" "rs2235503" 760593 0.6774 7.825 6.656e-12 "OID00660" "16" "MSLN" "ENSG00000102854" "Upstream" "ENSG00000102854" "MSLN" 760762 768865 "Cis" 886017734 886778327 "yes"
"16" "rs200692215" 1229816 -0.4997 -6.528 3.155e-09 "OID00941" "16" "TPSAB1" "ENSG00000172236" "Upstream" "ENSG00000116176" "TPSG1" 1240696 1242554 "Cis" 886017734 887247550 "yes"
"16" "rs11643061" 8288604 0.428 6.376 6.35e-09 "OID01364" "10" "APBB1IP" "ENSG00000077420" NA NA NA 26438203 26567803 "Trans" 886017734 894306338 "yes"
"16" "rs12919841" 20352022 -0.2664 -8.586 1.614e-13 "OID01237" "16" "UMOD" "ENSG00000169344" "Intronic" "ENSG00000169344" "UMOD" 20333052 20356301 "Cis" 886017734 906369756 "yes"
"16" "rs72802099" 62788701 0.5028 6.932 4.773e-10 "OID01377" "4" "SORCS2" "ENSG00000184985" "Intergenic" NA NA 7192538 7742836 "Trans" 886017734 948806435 "yes"
"16" "rs12931110" 85474211 0.6057 7.114 2.018e-10 "OID01400" "11" "CTSF" "ENSG00000174080" "Intronic" "ENSG00000131149" "GSE1" 66563463 66568841 "Trans" 886017734 971491945 "yes"
"16" "rs67961063" 87875385 0.7837 10.17 6.371e-17 "OID00464" "16" "CA5A" "ENSG00000174990" "Intergenic" NA NA 87881546 87936529 "Cis" 886017734 973893119 "yes"
"17" "rs546898578" 3245184 -0.5559 -6.421 5.156e-09 "OID01143" "11" "CDHR5" "ENSG00000099834" "Downstream" "ENSG00000255095" "OR1D4" 616565 626078 "Trans" 973893119 977138303 "yes"
"17" "rs3138036" 34320525 -0.8087 -11.65 4.609e-20 "OID00549" "17" "CCL8" "ENSG00000108700" "Intronic" "ENSG00000108700" "CCL8" 34319036 34321402 "Cis" 973893119 1008213644 "yes"
"17" "rs41341749" 35983666 -0.4232 -7.288 8.835e-11 "OID01292" "17" "CCL14" "ENSG00000276409" "Upstream" "ENSG00000275152" "CCL16" 35983291 35987004 "Cis" 973893119 1009876785 "yes"
"17" "rs854624" 36000884 1.022 15 6.664e-27 "OID00629" "17" "CCL15" "ENSG00000275718" "Intronic" "ENSG00000275688" "CCL15-CCL14" 35996440 36002038 "Cis" 973893119 1009894003 "yes"
"17" "rs2293188" 74541739 0.2489 6.654 1.76e-09 "OID00295" "17" "CD300C" "ENSG00000167850" "Splicing_variant" "ENSG00000167850" "CD300C" 74541108 74546143 "Cis" 973893119 1048434858 "yes"
"17" "rs8069119" 74678836 -0.8188 -15.15 3.399e-27 "OID00366" "17" "CD300LF" "ENSG00000186074" "Intronic" "ENSG00000172794" "RAB37" 74694311 74712978 "Cis" 973893119 1048571955 "yes"
"17" "." 79722727 0.8691 9.322 4.264e-15 "OID01181" "17" "ENPP7" "ENSG00000182156" "Intergenic" NA NA 79730919 79742222 "Cis" 973893119 1053615846 "yes"
"18" "rs62082812" 6845983 0.4639 6.663 1.682e-09 "OID01009" "4" "AREG" "ENSG00000109321" "Intronic" "ENSG00000088756" "ARHGAP28" 74445134 74455009 "Trans" 1053615846 1060461829 "yes"
"18" "." 15590454 -0.3996 -6.655 1.752e-09 "OID01431" "6" "IGF2R" "ENSG00000197081" "Intergenic" NA NA 159969099 160113507 "Trans" 1053615846 1069206300 "yes"
"18" "." 15678377 0.5451 7.271 9.569e-11 "OID01320" "2" "HS6ST1" "ENSG00000136720" "Intergenic" NA NA 128236716 128318577 "Trans" 1053615846 1069294223 "yes"
"18" "rs680321" 32217995 -1.332 -17.44 1.634e-31 "OID01208" "18" "MEP1B" "ENSG00000141434" "Intronic" "ENSG00000141434" "MEP1B" 32185069 32220404 "Cis" 1053615846 1085833841 "yes"
"18" "rs8085962" 33792123 1.017 6.883 6.028e-10 "OID00433" "1" "XCL1" "ENSG00000143184" "Intergenic" NA NA 168576473 168582077 "Trans" 1053615846 1087407969 "yes"
"18" "rs3826616" 63987229 0.3423 8.644 1.213e-13 "OID01141" "18" "SERPINB8" "ENSG00000166401" "UTR_variant" "ENSG00000166401" "SERPINB8" 63969925 64019779 "Cis" 1053615846 1117603075 "yes"
"18" "rs3924076" 67126074 0.3863 6.34 7.482e-09 "OID00328" "2" "MSTN" "ENSG00000138379" NA NA NA 190055697 190062729 "Trans" 1053615846 1120741920 "yes"
"19" "rs353705" 4236391 -0.2728 -8.601 1.498e-13 "OID00402" "16" "IL27" "ENSG00000197272" "Intronic" "ENSG00000105246" "EBI3" 28499362 28512051 "Trans" 1120741920 1124978311 "yes"
"19" "rs353705" 4236391 -0.2728 -8.601 1.498e-13 "OID00402" "19" "EBI3" "ENSG00000105246" "Intronic" "ENSG00000105246" "EBI3" 4229498 4237531 "Cis" 1120741920 1124978311 "yes"
"19" "rs3055535" 6589933 -0.3169 -6.911 5.276e-10 "OID00736" "19" "CD70" "ENSG00000125726" NA NA NA 6583183 6604103 "Cis" 1120741920 1127331853 "yes"
"19" "rs2032887" 8056476 0.4639 7.149 1.71e-10 "OID00551" "19" "CCL25" "ENSG00000131142" "Coding_sequence_variant" "ENSG00000131142" "CCL25" 8052767 8062650 "Cis" 1120741920 1128798396 "yes"
"19" "rs2607416" 40754926 0.3186 10.43 1.769e-17 "OID00701" "19" "MIA" "ENSG00000261857" "Intronic" "ENSG00000077312" "SNRPA" 40771648 40777490 "Cis" 1120741920 1161496846 "yes"
"19" "rs3761103" 43188949 2.512 6.707 1.371e-09 "OID01328" "17" "GH2" "ENSG00000136487" "Downstream" "ENSG00000243137" "PSG4" 63880215 63881935 "Trans" 1120741920 1163930869 "yes"
"19" "rs4760" 43648948 -0.6552 -10.54 1.042e-17 "OID00594" "8" "TNFRSF10C" "ENSG00000173535" "Coding_sequence_variant" "ENSG00000011422" "PLAUR" 23084355 23117437 "Trans" 1120741920 1164390868 "yes"
"19" "rs7260482" 44640642 -0.2096 -6.798 8.968e-10 "OID00344" "19" "PVR" "ENSG00000073008" "Upstream" "ENSG00000073008" "PVR" 44643798 44663583 "Cis" 1120741920 1165382562 "yes"
"19" "rs10411630" 49388057 -0.6209 -14.1 3.989e-25 "OID01394" "19" "DKKL1" "ENSG00000104901" "Upstream" "ENSG00000161609" "CCDC155" 49361783 49375116 "Cis" 1120741920 1170129977 "yes"
"19" "rs2569454" 51019947 -0.2296 -6.46 4.322e-09 "OID01148" "19" "KLK10" "ENSG00000129451" "UTR_variant" "ENSG00000129451" "KLK10" 51012739 51020175 "Cis" 1120741920 1171761867 "yes"
"19" "rs3745540" 51031874 1.183 17.64 6.963e-32 "OID01395" "19" "KLK12" "ENSG00000186474" "Splicing_variant" "ENSG00000186474" "KLK12" 51029092 51035230 "Cis" 1120741920 1171773794 "yes"
"19" "rs12975366" 54255498 -0.9747 -16.66 4.367e-30 "OID01220" "19" "LILRB5" "ENSG00000105609" "Coding_sequence_variant" "ENSG00000105609" "LILRB5" 54249431 54257301 "Cis" 1120741920 1174997418 "yes"
"19" "rs386056" 54279064 -0.4226 -11.55 7.41e-20 "OID01296" "19" "LILRB2" "ENSG00000131042" "Coding_sequence_variant" "ENSG00000131042" "LILRB2" 54273821 54281184 "Cis" 1120741920 1175020984 "yes"
"19" "rs150950527" 54537441 -1.299 -7.642 1.613e-11 "OID00373" "19" "LAIR2" "ENSG00000167618" "Intronic" "ENSG00000104970" "KIR3DX1" 54497879 54510687 "Cis" 1120741920 1175279361 "yes"
"2" "." 10043267 0.5602 8.146 1.908e-12 "OID00948" "11" "DGKZ" "ENSG00000149091" "Upstream" "ENSG00000172059" "KLF11" 46332905 46380554 "Trans" 1175279361 1185322628 "yes"
"2" "rs13395379" 12844121 0.2578 6.306 8.753e-09 "OID01455" "12" "ITGA5" "ENSG00000161638" NA NA NA 54395261 54419460 "Trans" 1175279361 1188123482 "yes"
"2" "rs115488926" 24015241 0.5557 8.284 7.083e-13 "OID01372" "9" "NINJ1" "ENSG00000131669" "Intronic" "ENSG00000205639" "MFSD2B" 93121489 93134288 "Trans" 1175279361 1199294602 "yes"
"2" "rs1105966" 37376801 -0.403 -7.624 1.764e-11 "OID01293" "2" "QPCT" "ENSG00000115828" "Downstream" "ENSG00000115828" "QPCT" 37344574 37373322 "Cis" 1175279361 1212656162 "yes"
"2" "rs2438099" 65482043 0.364 6.481 3.912e-09 "OID01139" "1" "NADK" "ENSG00000008130" "Intronic" "ENSG00000204929" "AC074391.1" 1751232 1780457 "Trans" 1175279361 1240761404 "yes"
"2" "rs6707822" 85388164 0.4669 9.337 3.945e-15 "OID01050" "2" "CAPG" "ENSG00000042493" "Intronic" "ENSG00000115459" "ELMOD3" 85394748 85418432 "Cis" 1175279361 1260667525 "yes"
"2" "rs201216083" 85971229 0.3483 6.687 1.507e-09 "OID01091" "2" "ITGB1BP1" "ENSG00000119185" "Intergenic" NA NA 9403475 9423547 "Trans" 1175279361 1261250590 "yes"
"2" "rs201216083" 85971229 0.2639 6.351 7.112e-09 "OID01098" "2" "PDCD1" "ENSG00000188389" "Intergenic" NA NA 241849881 241858908 "Trans" 1175279361 1261250590 "yes"
"2" "rs34564343" 87099548 0.4504 7.239 1.114e-10 "OID01461" "15" "SEMA7A" "ENSG00000138623" "Intergenic" NA NA 74409289 74434467 "Trans" 1175279361 1262378909 "yes"
"2" "." 92311510 1.552 8.814 5.236e-14 "OID00744" "1" "FCRLB" "ENSG00000162746" "Intergenic" NA NA 161721563 161728143 "Trans" 1175279361 1267590871 "yes"
"2" "." 93191585 0.3929 6.423 5.109e-09 "OID00725" "19" "CXCL17" "ENSG00000189377" NA NA NA 42428288 42443048 "Trans" 1175279361 1268470946 "yes"
"2" "rs148341345" 102314145 0.3596 7.775 8.494e-12 "OID00634" "2" "IL1RL1" "ENSG00000115602" "Intronic" "ENSG00000115602" "IL1RL1" 102311502 102352037 "Cis" 1175279361 1277593506 "yes"
"2" "rs6727306" 102365184 0.3823 9.512 1.665e-15 "OID00517" "2" "IL18R1" "ENSG00000115604" "Intronic" "ENSG00000115604" "IL18R1" 102311529 102398775 "Cis" 1175279361 1277644545 "yes"
"2" "rs76973788" 153383646 -0.4626 -6.473 4.068e-09 "OID00446" "8" "LPL" "ENSG00000175445" NA NA NA 19901717 19967258 "Trans" 1175279361 1328663007 "yes"
"2" "rs925411" 159889274 -0.2518 -9.842 3.252e-16 "OID00974" "2" "LY75" "ENSG00000054219" "Intronic" "ENSG00000054219" "LY75" 159803355 159904749 "Cis" 1175279361 1335168635 "yes"
"2" "rs533658141" 163530896 0.3479 6.35 7.803e-09 "OID01225" "20" "CST3" "ENSG00000101439" "Intergenic" NA NA 23626706 23638473 "Trans" 1175279361 1338810257 "yes"
"2" "rs75139511" 174329135 0.5013 8.103 1.716e-12 "OID01083" "X" "MAGED1" "ENSG00000179222" "Intronic" "ENSG00000231453" "LINC01305" 51803007 51902357 "Trans" 1175279361 1349608496 "yes"
"2" "rs112194459" 187389069 0.232 6.878 6.171e-10 "OID00590" "2" "TFPI" "ENSG00000003436" "Intronic" "ENSG00000064989" "CALCRL" 187464230 187565760 "Cis" 1175279361 1362668430 "yes"
"2" "rs72917769" 193283623 0.6751 6.707 1.371e-09 "OID01317" "19" "SIGLEC6" "ENSG00000105492" "Intergenic" NA NA 51519525 51531856 "Trans" 1175279361 1368562984 "yes"
"2" "rs115536310" 235511802 0.4045 6.367 6.62e-09 "OID01030" "12" "LRP1" "ENSG00000123384" NA NA NA 57128493 57213351 "Trans" 1175279361 1410791163 "yes"
"20" "rs6081134" 1913821 -0.3855 -14.33 1.413e-25 "OID00628" "20" "SIRPA" "ENSG00000198053" "Intronic" "ENSG00000198053" "SIRPA" 1894167 1940592 "Cis" 1410791163 1412704984 "yes"
